pp block trl_number cat_correct resp acc RT
1000 practice 0 2 2 1 1044
1000 practice 0 2 2 1 813
1000 practice 0 1 1 1 1241
1000 practice 0 1 2 0 989
1000 test 0 2 2 1 923
1000 test 1 1 1 1 713
1000 test 2 1 1 1 841
1000 test 3 1 1 1 1722
1000 test 4 2 2 1 835
1000 test 5 2 2 1 794
1000 test 6 2 2 1 655
1000 test 7 2 2 1 601
1000 test 8 2 2 1 635
1000 test 9 1 1 1 3079
1000 test 10 2 2 1 874
1000 test 11 1 1 1 2480
1000 test 12 1 1 1 1786
1000 test 13 2 2 1 665
1000 test 14 2 2 1 796
1000 test 15 2 2 1 734
1000 test 16 2 2 1 1419
1000 test 17 1 1 1 1594
1000 test 18 2 2 1 1043
1000 test 19 2 2 1 727
1000 test 20 2 2 1 673
1000 test 21 2 2 1 582
1000 test 22 1 1 1 870
1000 test 23 1 1 1 1076
1000 test 24 1 1 1 1464
1000 test 25 2 2 1 700
1000 test 26 1 1 1 1138
1000 test 27 1 1 1 1769
1000 test 28 2 2 1 728
1000 test 29 1 1 1 681
1000 test 30 1 1 1 843
1000 test 31 1 1 1 3322
1000 test 32 1 1 1 1025
1000 test 33 1 1 1 785
1000 test 34 2 2 1 905
1000 test 35 2 2 1 745
1000 test 36 1 1 1 1201
1000 test 37 2 2 1 754
1000 test 38 2 2 1 658
1000 test 39 1 1 1 1057
1000 test 40 2 2 1 761
1000 test 41 2 2 1 1033
1000 test 42 1 1 1 907
1000 test 43 2 2 1 752
1000 test 44 2 2 1 640
1000 test 45 2 2 1 816
1000 test 46 1 1 1 776
1000 test 47 1 1 1 841
1000 test 48 1 1 1 1369
1000 test 49 2 2 1 745
1000 test 50 1 1 1 585
1000 test 51 2 2 1 644
1000 test 52 2 2 1 553
1000 test 53 1 1 1 852
1000 test 54 2 2 1 681
1000 test 55 1 1 1 897
1000 test 56 2 2 1 609
1000 test 57 2 2 1 920
1000 test 58 2 2 1 893
1000 test 59 1 1 1 886
1000 test 60 2 2 1 716
1000 test 61 2 2 1 618
1000 test 62 1 1 1 754
