pp block trl_number cat_correct resp acc RT
1000 practice 0 2 2 1 1031
1000 practice 0 1 1 1 654
1000 practice 0 2 2 1 807
1000 practice 0 1 1 1 816
1000 test 0 1 1 1 670
1000 test 1 2 2 1 588
1000 test 2 1 1 1 837
1000 test 3 2 2 1 686
1000 test 4 2 2 1 726
1000 test 5 2 2 1 606
1000 test 6 2 2 1 701
1000 test 7 1 1 1 598
1000 test 8 1 1 1 1214
1000 test 9 2 2 1 710
1000 test 10 1 1 1 709
1000 test 11 1 1 1 702
1000 test 12 2 2 1 639
1000 test 13 1 1 1 887
1000 test 14 1 1 1 575
1000 test 15 1 1 1 742
1000 test 16 1 1 1 558
1000 test 17 2 2 1 606
1000 test 18 1 1 1 654
1000 test 19 1 1 1 573
1000 test 20 2 2 1 486
1000 test 21 2 2 1 606
1000 test 22 2 2 1 766
1000 test 23 2 2 1 550
1000 test 24 2 2 1 510
1000 test 25 1 1 1 462
1000 test 26 2 2 1 838
1000 test 27 2 2 1 590
1000 test 28 1 1 1 589
1000 test 29 1 1 1 502
1000 test 30 2 2 1 527
1000 test 31 2 2 1 694
1000 test 32 1 1 1 646
1000 test 33 2 2 1 551
1000 test 34 1 1 1 575
1000 test 35 1 1 1 1085
1000 test 36 2 2 1 861
1000 test 37 2 2 1 735
1000 test 38 2 2 1 746
1000 test 39 2 2 1 774
1000 test 40 1 1 1 566
1000 test 41 2 2 1 909
1000 test 42 2 2 1 510
1000 test 43 1 1 1 830
1000 test 44 2 2 1 734
1000 test 45 2 2 1 733
1000 test 46 2 1 0 718
1000 test 47 2 2 1 982
1000 test 48 2 2 1 622
1000 test 49 2 2 1 638
1000 test 50 1 1 1 623
1000 test 51 2 2 1 711
1000 test 52 2 2 1 846
1000 test 53 2 2 1 647
1000 test 54 2 2 1 614
1000 test 55 1 1 1 998
1000 test 56 2 2 1 646
1000 test 57 1 1 1 870
1000 test 58 1 1 1 758
1000 test 59 2 2 1 590
1000 test 60 1 1 1 783
1000 test 61 2 2 1 638
1000 test 62 1 1 1 823
1000 test 63 2 2 1 663
1000 test 64 1 1 1 686
1000 test 65 1 1 1 622
1000 test 66 2 2 1 758
1000 test 67 1 1 1 566
1000 test 68 1 1 1 694
1000 test 69 2 2 1 590
1000 test 70 2 2 1 1462
1000 test 71 1 1 1 598
1000 test 72 1 1 1 623
1000 test 73 2 2 1 631
1000 test 74 1 1 1 590
1000 test 75 1 1 1 871
