pp block trl_number cat_correct resp acc RT
1000 practice 0 1 1 1 1628
1000 practice 0 2 2 1 1237
1000 practice 0 2 2 1 1224
1000 practice 0 1 1 1 1805
1000 test 0 1 1 1 981
1000 test 1 2 2 1 764
1000 test 2 1 1 1 845
1000 test 3 2 2 1 996
1000 test 4 1 1 1 652
1000 test 5 1 1 1 862
1000 test 6 2 2 1 726
1000 test 7 1 1 1 742
1000 test 8 2 2 1 614
1000 test 9 2 2 1 845
1000 test 10 2 2 1 853
1000 test 11 1 1 1 845
1000 test 12 1 1 1 974
1000 test 13 2 2 1 639
1000 test 14 1 1 1 717
1000 test 15 1 1 1 1077
1000 test 16 1 1 1 701
1000 test 17 1 1 1 645
1000 test 18 1 1 1 646
1000 test 19 2 2 1 653
1000 test 20 2 2 1 1029
1000 test 21 2 2 1 692
1000 test 22 2 2 1 612
1000 test 23 1 1 1 781
1000 test 24 2 2 1 781
1000 test 25 2 2 1 933
1000 test 26 1 1 1 629
1000 test 27 1 1 1 822
1000 test 28 2 2 1 846
1000 test 29 1 1 1 605
1000 test 30 2 2 1 622
1000 test 31 2 2 1 606
1000 test 32 1 1 1 599
1000 test 33 1 2 0 709
1000 test 34 1 1 1 767
1000 test 35 1 1 1 734
1000 test 36 1 1 1 725
1000 test 37 2 2 1 637
1000 test 38 2 2 1 998
1000 test 39 2 2 1 613
1000 test 40 2 2 1 677
1000 test 41 1 1 1 741
1000 test 42 2 2 1 678
1000 test 43 1 1 1 718
1000 test 44 1 1 1 700
1000 test 45 1 1 1 614
1000 test 46 1 2 0 677
1000 test 47 2 2 1 757
1000 test 48 1 1 1 653
1000 test 49 2 2 1 631
1000 test 50 1 1 1 645
1000 test 51 2 2 1 758
1000 test 52 2 2 1 861
1000 test 53 2 2 1 756
1000 test 54 1 1 1 733
1000 test 55 1 1 1 741
1000 test 56 2 2 1 653
1000 test 57 1 1 1 734
1000 test 58 2 1 0 733
1000 test 59 2 2 1 861
1000 test 60 2 2 1 822
1000 test 61 1 1 1 790
1000 test 62 2 2 1 765
1000 test 63 1 1 1 838
1000 test 64 1 1 1 612
1000 test 65 2 2 1 734
1000 test 66 1 1 1 637
1000 test 67 2 2 1 742
1000 test 68 2 2 1 830
1000 test 69 1 1 1 637
1000 test 70 1 1 1 573
1000 test 71 1 1 1 613
1000 test 72 2 2 1 661
1000 test 73 2 2 1 701
1000 test 74 1 1 1 614
1000 test 75 1 1 1 677
1000 test 76 1 1 1 741
1000 test 77 1 1 1 558
1000 test 78 2 2 1 678
1000 test 79 2 2 1 758
1000 test 80 2 2 1 829
1000 test 81 2 2 1 1047
1000 test 82 1 1 1 670
1000 test 83 2 2 1 798
1000 test 84 2 2 1 854
1000 test 85 1 1 1 837
1000 test 86 2 2 1 710
1000 test 87 1 1 1 669
1000 test 88 2 2 1 693
1000 test 89 2 2 1 653
1000 test 90 1 1 1 805
1000 test 91 2 2 1 589
1000 test 92 2 2 1 782
1000 test 93 2 2 1 614
1000 test 94 2 2 1 679
1000 test 95 1 1 1 661
1000 test 96 1 1 1 757
1000 test 97 1 1 1 982
1000 test 98 1 1 1 574
1000 test 99 1 1 1 749
1000 test 100 2 2 1 862
1001 practice 0 1 2 0 1804
1001 practice 0 2 1 0 1557
1001 practice 0 2 2 1 1056
1001 practice 0 1 2 0 1334
1001 test 0 1 1 1 1606
1001 test 1 2 2 1 1238
1001 test 2 1 1 1 934
1001 test 3 2 2 1 1127
1001 test 4 1 1 1 765
1001 test 5 1 1 1 862
1001 test 6 2 2 1 1237
1001 test 7 1 1 1 756
1001 test 8 2 2 1 764
1001 test 9 2 1 0 1326
1001 test 10 2 2 1 1677
1001 test 11 1 1 1 981
1001 test 12 1 1 1 989
1001 test 13 2 1 0 1085
1001 test 14 1 1 1 860
1001 test 15 1 2 0 701
1001 test 16 1 1 1 676
1001 test 17 1 1 1 589
1001 test 18 1 1 1 750
1001 test 19 2 2 1 774
1001 test 20 2 2 1 797
1001 test 21 2 2 1 1030
1001 test 22 2 2 1 1013
1001 test 23 1 1 1 773
1001 test 24 2 2 1 774
1001 test 25 2 1 0 1053
1001 test 26 1 1 1 1197
1001 test 27 1 1 1 718
1001 test 28 2 2 1 837
1001 test 29 1 1 1 949
1001 test 30 2 2 1 845
1001 test 31 2 2 1 742
1001 test 32 1 1 1 757
1001 test 33 1 1 1 597
1001 test 34 1 1 1 716
1001 test 35 1 1 1 581
1001 test 36 1 1 1 533
1001 test 37 2 2 1 717
1001 test 38 2 2 1 1269
1001 test 39 2 2 1 725
1001 test 40 2 2 1 701
1001 test 41 1 1 1 645
1001 test 42 2 1 0 1005
1001 test 43 1 1 1 757
1001 test 44 1 1 1 845
1001 test 45 1 1 1 781
1001 test 46 1 1 1 845
1001 test 47 2 2 1 709
