pp block trl_number cat_correct resp acc RT
1000 practice 0 1 1 1 5123
1000 practice 0 1 1 1 4617
1000 practice 0 2 2 1 4796
1000 practice 0 2 2 1 5603
1000 test 0 2 2 1 6429
1000 test 1 2 2 1 4467
1000 test 2 2 2 1 6779
1000 test 3 1 1 1 3883
1000 test 4 1 1 1 6597
1000 test 5 1 1 1 7481
1000 test 6 1 2 0 5953
1000 test 7 1 1 1 5050
1000 test 8 2 2 1 5620
1000 test 9 1 1 1 3276
1000 test 10 2 2 1 3684
1000 test 11 2 2 1 3300
1000 test 12 1 1 1 3123
1000 test 13 2 2 1 4332
1000 test 14 2 2 1 2883
1000 test 15 1 1 1 9196
1000 test 16 1 1 1 2180
1000 test 17 2 2 1 3371
1000 test 18 1 1 1 5820
1000 test 19 2 2 1 3420
1000 test 20 2 2 1 5971
1000 test 21 1 1 1 4626
1000 test 22 2 2 1 3475
1000 test 23 1 1 1 3532
1000 test 24 1 2 0 4109
1000 test 25 1 1 1 3612
1000 test 26 1 1 1 4155
1000 test 27 1 2 0 6083
1000 test 28 1 1 1 7500
1000 test 29 2 2 1 4076
1000 test 30 1 1 1 8563
1000 test 31 2 2 1 5370
1000 test 32 1 1 1 7698
1000 test 33 2 2 1 5004
1000 test 34 1 2 0 4915
1000 test 35 2 2 1 3914
1000 test 36 2 2 1 4627
1000 test 37 1 1 1 3843
1000 test 38 2 2 1 4122
1000 test 39 1 1 1 7620
1000 test 40 1 1 1 5090
1000 test 41 1 1 1 5947
1000 test 42 2 2 1 3099
1000 test 43 2 2 1 4381
1000 test 44 1 1 1 4483
1000 test 45 1 1 1 10132
1000 test 46 1 1 1 2674
1000 test 47 1 2 0 8899
1000 test 48 1 2 0 5322
1000 test 49 1 1 1 4290
1000 test 50 1 1 1 3828
1000 test 51 1 1 1 3954
1000 test 52 2 2 1 4340
1000 test 53 2 2 1 2219
1000 test 54 2 2 1 3203
1000 test 55 1 1 1 3971
1000 test 56 1 2 0 5610
1000 test 57 1 1 1 3005
1000 test 58 2 2 1 2587
1000 test 59 1 1 1 8266
