pp block trl_number cat_correct resp acc RT
1000 practice 0 2 2 1 3065
1000 practice 0 1 1 1 2963
1000 practice 0 2 2 1 2859
1000 practice 0 1 1 1 1971
1000 test 0 1 1 1 1917
1000 test 1 1 1 1 2931
1000 test 2 1 1 1 2212
1000 test 3 2 2 1 2988
1000 test 4 2 2 1 2859
1000 test 5 1 1 1 2362
1000 test 6 2 2 1 2925
1000 test 7 1 1 1 2283
1000 test 8 1 1 1 2164
1000 test 9 2 2 1 3123
1000 test 10 1 1 1 1644
1000 test 11 1 1 1 1955
1000 test 12 1 1 1 1964
1000 test 13 2 2 1 2795
1000 test 14 2 2 1 2178
1000 test 15 2 2 1 2674
1000 test 16 1 1 1 2467
1000 test 17 2 2 1 2340
1000 test 18 2 2 1 2716
1000 test 19 1 1 1 3195
1000 test 20 2 2 1 1908
1000 test 21 2 2 1 2276
1000 test 22 2 2 1 3564
1000 test 23 1 1 1 3291
1000 test 24 2 2 1 5987
1000 test 25 1 1 1 2611
1000 test 26 1 1 1 2051
1000 test 27 1 1 1 2842
1000 test 28 2 2 1 3292
1000 test 29 2 2 1 2932
1000 test 30 2 2 1 3780
1000 test 31 1 1 1 2650
1000 test 32 2 2 1 2203
1000 test 33 2 2 1 3131
1000 test 34 2 2 1 2532
1000 test 35 1 1 1 2956
1000 test 36 1 1 1 2587
1000 test 37 2 2 1 2108
1000 test 38 2 2 1 2916
1000 test 39 1 1 1 2155
1000 test 40 2 2 1 3916
1000 test 41 1 1 1 2923
1000 test 42 1 1 1 1859
1000 test 43 1 1 1 2308
1000 test 44 2 2 1 2179
1000 test 45 1 1 1 2300
1000 test 46 1 1 1 2546
1000 test 47 2 2 1 2619
1000 test 48 2 2 1 2772
1000 test 49 1 1 1 2396
1000 test 50 1 1 1 1804
1000 test 51 2 2 1 2196
1000 test 52 1 1 1 1740
1000 test 53 2 2 1 3731
1000 test 54 2 2 1 3668
1000 test 55 2 2 1 3186
1000 test 56 1 1 1 2451
1000 test 57 2 2 1 3891
1000 test 58 2 2 1 2180
1000 test 59 1 1 1 2468
1000 test 60 2 2 1 3804
1000 test 61 2 2 1 3355
1000 test 62 1 1 1 2818
1000 test 63 1 1 1 3148
1000 test 64 2 2 1 2523
1000 test 65 1 1 1 1915
1000 test 66 2 2 1 3723
1000 test 67 1 1 1 2500
1000 test 68 1 1 1 1821
1000 test 69 1 1 1 4996
1000 test 70 2 2 1 2771
1000 test 71 1 1 1 8363
1000 test 72 1 1 1 1659
1000 test 73 2 2 1 2443
1000 test 74 1 1 1 1924
1000 test 75 2 2 1 2445
1000 test 76 1 1 1 3548
1000 test 77 1 1 1 2731
1000 test 78 2 2 1 3812
1000 test 79 1 1 1 1780
1000 test 80 1 1 1 2459
1000 test 81 1 1 1 2778
1000 test 82 2 2 1 2348
1000 test 83 2 2 1 4514
1000 test 84 1 1 1 2308
1000 test 85 2 2 1 3308
1000 test 86 2 2 1 2396
1000 test 87 1 1 1 2020
1000 test 88 1 1 1 2186
1000 test 89 1 1 1 1547
1000 test 90 2 2 1 1883
1000 test 91 2 2 1 2652
1000 test 92 1 1 1 1459
1000 test 93 1 1 1 2068
1000 test 94 2 2 1 3020
1000 test 95 2 2 1 2188
1000 test 96 2 1 0 6676
1000 test 97 1 1 1 2826
1000 test 98 2 2 1 2916
1000 test 99 2 2 1 4235
1000 test 100 1 1 1 3011
1001 practice 0 2 1 0 3426
1001 practice 0 1 1 1 3722
1001 practice 0 2 2 1 1333
1001 practice 0 1 1 1 955
1001 test 0 1 1 1 1013
1001 test 1 1 1 1 1250
1001 test 2 1 1 1 2147
1001 test 3 2 1 0 1506
1001 test 4 2 2 1 1682
1001 test 5 1 1 1 3747
1001 test 6 2 2 1 2827
1001 test 7 1 1 1 3498
1001 test 8 1 1 1 3148
1001 test 9 2 2 1 2722
1001 test 10 1 1 1 1948
1001 test 11 1 1 1 2867
1001 test 12 1 1 1 1852
1001 test 13 2 2 1 1619
1001 test 14 2 2 1 3309
1001 test 15 2 1 0 3457
1001 test 16 1 1 1 2794
1001 test 17 2 2 1 4195
1001 test 18 2 2 1 4379
1001 test 19 1 1 1 2179
1001 test 20 2 1 0 3163
1001 test 21 2 2 1 2298
1001 test 22 2 2 1 4091
1001 test 23 1 1 1 2275
1001 test 24 2 2 1 5412
1001 test 25 1 1 1 2619
1001 test 26 1 1 1 2028
1001 test 27 1 1 1 3243
1001 test 28 2 2 1 2915
1001 test 29 2 2 1 2891
1001 test 30 2 2 1 2194
1001 test 31 1 1 1 2834
1001 test 32 2 2 1 2307
1001 test 33 2 2 1 2220
1001 test 34 2 2 1 1908
1001 test 35 1 1 1 2476
1001 test 36 1 1 1 2627
1001 test 37 2 2 1 2588
1001 test 38 2 2 1 3628
1001 test 39 1 1 1 3354
1001 test 40 2 2 1 3427
1001 test 41 1 1 1 2187
1001 test 42 1 1 1 2395
1001 test 43 1 2 0 5675
1001 test 44 2 2 1 2802
1001 test 45 1 1 1 2092
1001 test 46 1 1 1 3091
1001 test 47 2 2 1 6100
