pp block trl_number cat_correct resp acc RT
1000 practice 0 1 1 1 4884
1000 practice 0 2 2 1 5358
1000 practice 0 2 2 1 6653
1000 practice 0 1 1 1 7799
1000 test 0 1 1 1 3427
1000 test 1 2 2 1 5667
1000 test 2 1 1 1 2516
1000 test 3 2 2 1 3085
1000 test 4 1 2 0 5507
1000 test 5 1 1 1 4011
1000 test 6 1 1 1 2811
1000 test 7 1 1 1 2067
1000 test 8 2 2 1 2131
1000 test 9 2 1 0 5532
1000 test 10 1 1 1 5923
1000 test 11 2 2 1 7243
1000 test 12 1 1 1 5747
1000 test 13 1 1 1 2627
1000 test 14 2 2 1 3291
1000 test 15 2 2 1 3740
1000 test 16 1 1 1 2410
1000 test 17 1 1 1 4555
1000 test 18 2 2 1 3554
1000 test 19 2 2 1 3004
1000 test 20 2 2 1 6444
1000 test 21 1 1 1 4930
1000 test 22 2 2 1 5322
1000 test 23 1 1 1 2819
1000 test 24 2 2 1 3156
1000 test 25 2 2 1 5115
1000 test 26 2 2 1 2674
1000 test 27 1 1 1 2524
1000 test 28 1 1 1 2284
1000 test 29 1 1 1 3411
1000 test 30 1 1 1 5883
1000 test 31 2 2 1 2020
1000 test 32 2 2 1 3467
1000 test 33 1 1 1 4084
1000 test 34 2 2 1 8378
1000 test 35 1 1 1 2187
1000 test 36 1 1 1 2147
1000 test 37 1 1 1 2507
1000 test 38 1 1 1 2627
1000 test 39 1 1 1 3227
1000 test 40 1 1 1 1716
1000 test 41 2 2 1 9499
1000 test 42 1 1 1 2093
1000 test 43 2 2 1 3988
1000 test 44 2 2 1 2525
1000 test 45 2 2 1 3938
1000 test 46 1 1 1 7155
1000 test 47 2 2 1 2284
1000 test 48 2 2 1 3659
1000 test 49 2 2 1 8859
1000 test 50 2 2 1 2284
1000 test 51 2 1 0 7802
1000 test 52 1 1 1 3051
1000 test 53 2 2 1 3403
1000 test 54 1 1 1 4332
1000 test 55 1 1 1 2739
1000 test 56 1 2 0 3364
1000 test 57 2 2 1 4539
1000 test 58 2 2 1 2139
1000 test 59 2 2 1 2963
1000 test 60 2 2 1 3019
1000 test 61 1 1 1 2355
1000 test 62 1 1 1 2747
1000 test 63 1 1 1 2701
1000 test 64 2 2 1 2580
1000 test 65 2 2 1 3869
1000 test 66 2 2 1 2850
1000 test 67 2 2 1 2627
1000 test 68 2 2 1 2635
1000 test 69 1 1 1 3972
1000 test 70 1 1 1 3131
1000 test 71 2 2 1 7106
1000 test 72 1 1 1 3316
1000 test 73 2 2 1 4827
