pp gender age student psycho left_handed duration_part1 duration_part2
1000 f 58 0 0 0 68.81 71.37
1001 f 42 0 0 0 57.33 63.24
1002 m 56 0 0 0 63.36 61.37
1003 m 41 0 0 0 67.37 60.63
1010 f 20 1 1 0 43.63 92.19
1011 f 27 1 0 0 44.54 49.61
1012 m 29 1 0 1 85.72 68.77
1013 f 43 1 0 0 65.02 72.94
1014 f 26 1 0 0 74.77 59.34
1015 f 29 1 0 0 79.1 51.77
1016 f 29 1 0 0 72.43 59.5
1017 f 25 1 0 0 57.29 232.36
1018 f 25 1 0 1 86.84 90.99
1019 f 27 1 0 0 67.49 56.57
1020 m 26 0 0 0 62.07 60.69
1021 f 25 1 0 1 95.03 86.56
1022 f 35 0 0 1 76.01 282
1035 f 26 0 0 0 70.64 95.83
1039 f 20 1 0 0 74.85 65.25
1040 f 43 0 0 0 153.42 68.26
1041 f 51 0 0 0 71.79 70.66
1042 f 18 1 0 0 68.47 59.88
1043 f 56 0 0 0 66.83 78.75
1044 m 25 1 1 0 49.84 50.85
1045 f 26 1 0 0 65.75 67.71
1046 f 31 1 0 0 141.09 64.98
1047 f 47 0 1 0 62.64 82.94
1049 f 39 0 0 0 55.52 58.09
1050 m 24 1 0 1 47.86 49.94
1051 f 58 0 0 0 59.56 70.16
1052 m 25 1 0 0 73.89 68.79
1053 f 20 1 1 1 61.24 51.56
1054 f 22 1 0 0 64.86 52.87
1068 f 65 0 1 0 108.38 119.55
1069 f 59 0 0 0 67.91 71.1
1070 f 59 0 0 0 82.37 71.34
1072 m 18 1 0 0 63.82 64.71
1073 m 57 0 0 1 71.7 72.37
1074 f 62 0 0 0 61.6 63.76
1077 f 26 0 1 0 60.61 50.24
1080 m 35 0 0 0 59.91 57.77
1086 m 23 1 0 0 51.34 57.5
1087 f 48 1 0 0 68.33 89.81
1088 f 22 1 1 0 46.21 49.69
1089 m 21 1 0 0 51.43 58.37
1090 f 18 1 1 0 51.13 54.39
1091 f 22 1 1 0 57.64 56.5
1096 m 20 1 0 0 61.83 61.62
1098 f 38 0 0 1 45.96 47.12
1099 m 18 1 0 0 54.21 63.22
2000 f 52 0 0 0 129.55 117.23
2001 m 31 1 0 0 74.66 152.77
2003 m 27 1 0 0 62.56 56.5
2004 m 56 0 0 0 71.45 86.22
2005 m 60 0 0 0 99.01 108.22
2006 m 60 0 0 0 138.91 72.02
2007 m 20 1 1 0 67.5 68.55
2008 f 45 0 0 0 81.7 70.88
2009 m 21 1 0 0 48.22 45.96
2010 m 21 1 0 0 147.23 55.65
2011 f 24 1 0 0 55.6 54.57
2012 f 18 1 0 0 67.53 59.17
2013 f 22 0 0 0 74.38 68.07
2025 f 33 0 0 0 59.23 53.91
2026 f 30 1 0 0 50.75 52.64
2027 m 59 0 0 0 61.82 66.75
2028 f 31 1 0 1 60.68 61.14
2029 f 31 0 0 0 60.48 60.32
2030 f 44 0 0 0 64.34 57.5
2031 f 41 0 0 0 91.71 84.32
2035 m 30 0 0 0 61.61 59.18
2039 f 19 1 0 0 49.6 54.22
2040 f 21 1 0 0 50.53 51.2
3000 f 27 1 1 0 51.67 53.37
3001 m 61 0 0 0 70.22 61.57
3002 f 21 1 0 0 107.1 94.34
3003 f 27 1 0 1 73.83 61.22
3004 f 56 0 0 0 100.45 90.29
3007 f 27 1 0 0 56.39 60.3
3008 f 26 1 0 0 51.46 52.86
3010 m 27 0 0 0 63.08 89.99
3012 m 27 1 0 0 70.02 69.69
3013 f 50 0 0 0 66.07 60.88
3014 f 54 0 0 0 63.56 64.69
3015 f 36 0 0 0 67.53 67.2
3016 f 58 0 0 0 72.81 73.42
3017 f 37 1 0 0 107.14 78.23
3018 f 19 1 0 0 63.25 63.86
3019 f 51 0 0 0 144.63 68.24
3020 m 30 1 0 1 52.29 55.03
3021 m 26 1 0 0 74.7 69.47
3022 m 23 1 0 0 56.26 53.34
3023 f 44 0 0 0 59.02 51.83
3026 m 58 0 0 0 60.51 61.82
3040 m 24 1 0 0 64.5 62.06
3041 f 58 0 0 0 61.76 67.67
3044 f 20 1 1 0 40.68 46.04
3045 m 23 1 0 0 62.77 71.44
3046 m 19 1 0 0 51.13 50.6
3047 m 56 0 0 0 70.13 89.73
3048 f 33 1 0 0 54.26 54.2
4000 f 51 0 0 0 113.7 105.08
4003 f 24 1 0 0 56.33 52.8
4004 f 19 1 1 0 49.57 60.24
4005 f 19 1 0 0 66.52 51.7
4006 m 49 0 0 0 139.75 71.98
4007 m 54 0 0 0 64.11 60.83
4008 m 43 0 0 0 65.59 67.62
4009 f 45 0 0 0 94.22 75.19
4010 f 40 0 0 0 60.43 55.38
4011 m 24 1 0 0 52.19 48.59
4022 m 46 0 0 1 62.17 61.68
4023 f 45 1 1 0 76.51 72.11
4027 m 24 1 0 0 61.33 52.95
5003 f 51 0 0 0 59 63.22
5004 f 26 0 0 0 191.11 54.8
5005 f 58 0 0 0 58 70.08
5006 f 53 0 0 0 66.6 63.95
5007 m 27 0 0 0 53.06 57.18
5008 f 48 0 0 0 136.68 63.9
5009 f 48 0 0 0 67.14 59.79
5010 m 48 0 0 1 65.64 63.19
5011 m 60 0 0 0 52.47 56.57
5022 m 24 1 0 0 51.24 46.55
5023 m 50 0 0 0 NA 82.8
